Day,Date,Spot_Price,Days_Left,IV,Delta,Total_Shares,Action,Shares_Traded,Trade_Cost,Cum_PnL
1,2025-09-19,264.87,28,38.08,-0.6023,-0.6023,BUY,0.6023,-159.52,13.95
2,2025-09-22,272.63,25,43.72,-0.6904,-0.6904,BUY,0.0881,-24.02,9.28
3,2025-09-23,282.71,24,41.33,-0.8076,-0.8076,BUY,0.1172,-33.15,2.32
4,2025-09-24,280.71,23,40.35,-0.7977,-0.7977,SELL,0.0099,2.78,3.93
5,2025-09-25,276.66,22,40.71,-0.757,-0.757,SELL,0.0407,11.26,7.16
6,2025-09-26,273.36,21,37.99,-0.733,-0.733,SELL,0.024,6.56,9.66
7,2025-09-29,273.23,18,44.99,-0.7148,-0.7148,SELL,0.0182,4.97,9.76
8,2025-09-30,279.29,17,40.93,-0.8096,-0.8096,BUY,0.0948,-26.48,5.42
9,2025-10-01,288.47,16,46.82,-0.8703,-0.8703,BUY,0.0607,-17.5,-2.01
10,2025-10-02,288.11,15,47.51,-0.8712,-0.8712,BUY,0.0009,-0.25,-1.69
11,2025-10-03,292.19,14,49.18,-0.8992,-0.8992,BUY,0.028,-8.18,-5.25
12,2025-10-06,302.4,11,56.73,-0.9448,-0.9448,BUY,0.0456,-13.8,-14.43
13,2025-10-07,294.03,10,56.18,-0.9165,-0.9165,SELL,0.0283,8.33,-6.52
14,2025-10-08,304.52,9,58.36,-0.9626,-0.9626,BUY,0.0462,-14.06,-16.13
15,2025-10-09,299.88,8,55.45,-0.9633,-0.9633,BUY,0.0007,-0.21,-11.67
16,2025-10-10,280.66,7,69.71,-0.802,-0.802,SELL,0.1614,45.29,6.85
17,2025-10-13,302.89,4,76.02,-0.9752,-0.9752,BUY,0.1733,-52.49,-10.98
18,2025-10-14,295.94,3,78.26,-0.9689,-0.9689,SELL,0.0063,1.87,-4.2
19,2025-10-15,304.71,2,91.34,-0.9914,-0.9914,BUY,0.0225,-6.86,-12.7
20,2025-10-16,299.84,1,53.38,-1.0,-1.0,BUY,0.0086,-2.57,-7.87
21,2025-10-17,295.08,0,38.08,-1.0,-1.0,HOLD,0.0,-0.0,-3.11
